FrameID, MovementScore
1,0.000
2,0.000
3,0.000
4,0.000
5,80044.130
6,69398.270
7,60168.290
8,52165.910
9,45227.840
10,39212.540
11,33997.330
12,29475.690
13,25555.440
14,22156.570
15,19209.750
16,16654.850
17,14439.760
18,12519.270
19,10854.210
20,9410.600
21,8159.001
22,7073.854
23,6133.401
24,5317.844
25,4611.304
26,3998.698
27,3468.122
28,3009.990
29,2617.185
30,2275.436
31,1976.968
32,1719.719
33,1505.475
34,1319.649
35,1163.447
36,1028.499
37,911.664
38,811.830
39,727.836
40,655.777
41,597.122
42,556.867
43,520.788
44,486.678
45,465.306
46,446.971
47,435.594
48,429.443
49,437.033
50,451.418
51,473.086
52,488.811
53,505.587
54,513.142
55,518.034
56,509.563
57,512.674
58,526.543
59,549.618
60,569.389
61,589.407
62,603.474
63,622.065
64,634.943
65,650.398
66,657.231
67,656.643
68,649.868
69,636.848
70,606.961
71,585.787
72,557.489
73,536.615
74,514.849
75,497.115
76,491.952
77,491.503
78,489.542
79,499.409
80,522.332
81,550.624
82,578.883
83,625.871
84,682.142
85,736.360
86,771.877
87,803.468
88,825.511
89,863.207
90,883.610
91,917.179
92,939.223
93,977.902
94,1006.413
95,1072.999
96,1113.638
97,1157.073
98,1180.205
99,1240.165
100,1283.116
101,1332.631
102,1383.809
103,1452.496
104,1499.761
105,1538.944
106,1591.311
107,1640.613
108,1668.137
109,1658.144
110,1628.953
111,1597.561
112,1571.101
113,1531.098
114,1476.981
115,1434.940
116,1391.326
117,1366.357
118,1328.249
119,1291.312
120,1249.696
121,1189.703
122,1106.571
123,1053.055
124,989.040
125,951.268
126,888.531
127,833.422
128,805.079
129,785.948
130,779.614
131,774.624
132,770.635
133,760.025
134,731.618
135,692.405
136,653.998
137,613.888
138,597.060
139,551.752
140,506.922
141,484.008
142,475.403
143,474.913
144,463.414
145,462.164
146,469.198
147,464.279
148,448.659
149,446.181
150,438.098
151,425.521
152,408.989
153,402.083
154,416.477
155,405.050
156,396.229
157,408.845
158,426.193
159,422.484
160,425.849
161,433.285
162,443.748
163,446.799
164,480.964
165,486.949
166,484.233
