# CAVAPA JYU. Greg Ruthenbeck. 20min @1Hz (1s intervals).
ID,CamA,CamB,CamC,CamD,CamE,
0,4613.044,4611.304,4613.979,4481.574,4532.328,
1,447.367,451.418,455.276,149.474,234.54,
2,549.374,497.115,551.651,54.268,237.376,
3,1474.873,1283.116,1564.751,218.513,671.329,
4,1166.699,951.268,1058.595,315.322,713.833,
5,536.572,438.098,588.756,193.951,262.716,
6,392.712,337.774,441.348,105.923,202.527,
7,182.359,147.933,234.295,105.323,80.593,
8,367.452,323.135,437.533,141.383,178.935,
9,448.171,358.652,552.535,103.501,197.499,
10,1463.847,1291.236,1500.044,100.341,942.911,
11,1804.802,1399.477,1271.282,88.748,1015.489,
12,963.427,810.191,858.444,57.776,582.968,
13,2321.085,1852.26,1703.867,177.417,1130.374,
14,1612.251,1373.847,1346.619,137.688,1047.503,
15,599.189,566.752,616.364,107.04,393.748,
16,404.777,345.234,421.75,37.725,209.363,
17,844.814,801.997,1004.515,281.941,359.977,
18,1131.239,953.883,1201.407,296.544,641.965,
19,1294.665,1087.64,1215.506,282.407,719.735,
20,1260.651,1092.573,1318.855,220.389,669.244,
21,1086.824,930.137,1222.645,295.431,509.45,
22,1026.757,983.17,1312.072,442.883,594.808,
23,432.277,378.217,579.663,350.235,269.022,
24,376.31,357.177,544.003,242.472,209.831,
25,243.358,200.971,357.448,149.134,143.873,
26,160.55,129.244,270.761,72.584,96.421,
27,182.903,162.062,301.893,39.848,89.727,
28,76.08,63.903,118.553,42.691,43.528,
29,112.629,100.122,192.828,51.536,59.493,
30,75.335,67.58,147.126,59.932,60.267,
31,233.191,206.787,280.579,35.5,89.574,
32,346.389,289.473,438.165,134.037,218.061,
33,1443.367,1317.885,1782.029,417.262,743.684,
34,2606.362,2542.297,2628.239,999.465,1695.532,
35,550.885,467.854,467.121,187.772,358.327,
36,1870.665,1693.28,1952.616,443.878,788.373,
37,8451.942,6979.349,7379.665,2744.528,5708.765,
38,7670.103,6714.277,7485.582,2318.976,4737.827,
39,7329.07,6713.675,6978.288,2452.14,4472.668,
40,6434.108,5781.337,5818.861,1931.593,3869.245,
41,8330.858,7258.732,6946.859,2475.817,5619.86,
42,9235.495,7896.891,8782.991,2551.694,5540.639,
43,3628.221,3443.973,3443.609,1152.494,2373.115,
44,2224.15,2071.996,2385.551,291.063,1248.884,
45,1935.402,1882.017,2240.166,385.051,1239.946,
46,2862.438,2665.728,2984.16,629.741,1526.807,
47,4525.705,4042.255,3810.788,948.252,2379.762,
48,4542.764,3695.854,3318.344,1027.548,2501.542,
49,5213.036,4099.99,3555.972,693.745,2987.627,
50,4118.819,3114.592,2839.504,625.192,2339.467,
51,4307.405,3297.51,2862.601,639.868,2547.417,
52,4782.385,3176.149,2653.559,1018.214,2761.244,
53,3805.417,3538.556,2841.043,1365.147,3145.435,
54,944.469,3108.013,1843.446,1322.46,1695.359,
55,1230.772,1933.2,1378.401,393.141,588.102,
56,1734.073,1538.906,1762.495,389.941,867.967,
57,1424.509,1318.566,1542.266,501.19,760.059,
58,911.166,744.212,977.768,451.588,430.372,
59,1519.489,1325.699,1520.413,464.704,694.124,
60,2653.795,2223.438,2394.425,851.503,1434.75,
61,2792.573,2523.885,2877.702,768.073,1532.734,
62,3220.066,2837.291,3364.856,600.225,1733.863,
63,3440.848,3081.268,3225.107,577.202,2008.013,
64,2229.09,1943.841,2182.968,477.55,1353.388,
65,2165.08,1844.921,2013.304,426.552,1205.554,
66,1829.697,1628.318,1727.484,326.385,987.271,
67,1162.538,990.031,1143.783,412.338,563.075,
68,969.067,843.054,890.855,155.677,475.699,
69,387.334,348.176,460.806,86.117,210.629,
70,198.142,141.981,236.869,70.762,129.806,
71,72.95,60.252,99.724,21.969,57.805,
72,305.17,216.009,337.019,46.265,106.516,
73,196.189,174.488,246.111,26.82,126.289,
74,152.632,120.052,184.737,40.746,79.552,
75,381.071,285.658,447.106,100.292,121.186,
76,2264.888,1916.47,2167.243,548.686,1071.093,
77,3621.666,3107.71,3423.395,1065.927,1996.348,
78,3940.894,3230.894,3453.996,1249.929,2083.698,
79,4367.586,3580.188,3803.964,1182.698,2258.571,
80,3229.216,2826.48,3131.128,904.597,1560.021,
81,2512.2,2142.382,2379.843,768.404,1351.555,
82,1627.033,1327.573,1526.027,402.667,788.146,
83,1072.775,987.56,1251.313,421.335,490.029,
84,1318.854,1180.411,1267.883,208.413,637.71,
85,2011.071,1696.456,1875.834,294.018,1028.264,
86,1385.629,1177.635,1044.606,462.038,962.788,
87,242.117,208.642,279.87,47.93,123.434,
88,8058.602,6829.555,7417.486,1922.216,4188.064,
89,7622.927,6603.354,6715.323,1959.529,4236.586,
90,5966.341,5488.365,5478.942,1822.181,3688.839,
91,7404.345,6744.694,6394.29,2205.653,4976.391,
92,9215.157,7843.869,8122.014,2396.082,5255.217,
93,7516.475,6402.093,6893.388,2037.224,4358.177,
94,5076.189,4776.18,4742.349,1571.414,3203.082,
95,2682.465,2472.22,2695.548,961.544,1591.122,
96,2018.164,1769.495,2115.854,759.49,1093.56,
97,2261.664,1939.417,2139.281,667.324,1064.537,
98,1568.998,1376.549,1650.402,590.571,751.359,
99,1612.35,1400.21,1663.338,522.446,806.646,
100,1363.613,1096.47,1333.638,302.305,620.469,
101,1556.518,1322.299,1625.221,670.301,649.738,
102,1670.015,1475.709,1865.068,644.828,757.957,
103,1395.826,1282.667,1461.038,551.2,573.717,
104,1628.698,1336.444,1365.466,314.876,860.879,
105,1072.996,944.25,1105.521,474.789,574.916,
106,771.34,683.444,872.194,144.122,374.911,
107,569.213,493.691,734.563,257.773,266.11,
108,621.311,546.649,750.79,163.97,302.897,
109,455.968,394.101,574.982,128.503,261.864,
110,630.144,576.977,768.757,301.257,353.695,
111,888.196,712.203,918.046,200.643,397.955,
112,486.633,421.363,577.273,128.017,253.872,
113,221.58,210.115,311.956,46.523,114.833,
114,440.171,382.437,582.101,130.437,207.406,
115,255.795,226.35,360.694,99.859,148.261,
116,650.898,647.01,837.325,307.45,336.283,
117,827.908,722.82,1038.327,243.746,379.216,
118,688.522,614.602,812.178,222.669,362.145,
119,486.945,435.654,604.727,136.438,230.709,
120,546.655,474.062,690.68,181.063,298.203,
121,402.588,343.881,478.295,134.08,225.35,
122,475.765,383.741,625.001,134.488,202.953,
123,537.634,456.141,615.542,245.181,305.06,
124,512.517,472.238,652.525,267.873,252.421,
125,352.737,309.255,448.409,157.802,182.037,
126,465.547,414.691,584.286,187.322,237.004,
127,585.219,519.289,693.42,151.15,319.988,
128,627.456,533.896,794.423,132.178,242.725,
129,539.584,474.085,689.505,120.588,257.121,
130,829.997,690.962,892.93,171.021,340.034,
131,766.661,631.424,748.715,138.009,410.09,
132,265.659,212.178,324.14,89.332,122.67,
133,135.237,109.143,183.052,15.991,56.292,
134,252.422,195.208,246.973,47.712,135.064,
135,239.766,214.737,280.871,101.629,130.536,
136,208.256,205.865,265.305,135.377,117.159,
137,160.359,169.003,272.296,114.117,108.026,
138,273.015,234.119,351.201,49.249,116.999,
139,362.505,335.126,480.554,93.452,176.173,
140,564.624,482.493,590.804,96.507,290.181,
141,329.802,327.376,429.805,103.007,167.901,
142,362.513,331.132,500.522,140.734,154.802,
143,386.029,372.465,524.236,161.085,224.363,
144,278.543,248.441,353.804,120.025,131.345,
145,341.985,291.317,371.467,81.666,213.617,
146,342.372,326.735,344.644,105.565,208.339,
147,130.955,137.742,165.867,40.636,73.305,
148,97.012,84.497,140.832,57.64,63.56,
149,278.487,254.384,357.058,116.766,118.184,
150,376.084,315.154,422.571,149.953,215.111,
151,256.495,179.235,274.441,91.21,103.969,
152,1404.305,1202.413,1189.211,267.046,742.846,
153,1996.212,1681.932,1581.195,605.368,1210.602,
154,2536.778,2018.418,1846.234,919.476,1473.301,
155,1632.707,1209.766,1102.229,700.049,944.656,
156,1648.222,1379.71,1410.939,525.132,843.936,
157,2286.235,2024.234,2116.155,761.9,1161.268,
158,1864.426,1700.509,1927.558,704.497,1121.727,
159,531.942,616.897,772.555,513.585,359.077,
160,665.919,612.719,723.841,232.277,369.886,
161,514.691,511.898,565.527,194.607,358.35,
162,536.842,481.781,544.667,155.766,230.934,
163,206.556,302.53,442.549,104.43,206.055,
164,154.104,263.018,365.632,102.796,115.174,
165,909.17,986.621,1095.621,241.037,561.132,
166,751.612,789.737,866.56,163.45,359.946,
167,615.345,637.509,667.362,147.032,316.636,
168,821.223,770.765,835.878,270.752,414.527,
169,606.423,627.48,842.064,346.635,281.924,
170,1267.496,1074.904,1503.16,698.884,629.259,
171,1478.108,1425.818,1749.291,620.228,765.368,
172,2005.866,1822.727,2040.709,499.567,1133.402,
173,1327.787,1306.821,1553.459,454.211,547.659,
174,587.596,702.429,957.355,399.408,377.63,
175,496.146,534.741,890.773,534.488,318.322,
176,451.7,460.866,677.829,391.889,185.114,
177,532.555,588.648,832.15,369.968,311.41,
178,513.742,531.822,729.834,605.33,368.813,
179,465.252,422.441,649.665,520.511,251.081,
180,962.345,949.029,1078.571,456.919,444.93,
181,599.237,566.787,730.908,402.127,304.243,
182,911.577,888.236,1138.308,315.776,426.374,
183,742.683,745.611,1088.236,459.515,505.193,
184,1189.785,1114.683,1329.149,528.613,440.082,
185,2137.863,2009.815,2121.945,552.795,1173.395,
186,1564.019,1632.948,1898.409,419.22,936.9,
187,1289.141,1267.286,1697.188,305.59,666.183,
188,1429.686,1279.047,1470.702,567.222,767.141,
189,1548.817,1439.354,1650.451,589.623,908.384,
190,916.826,818.481,1053.171,245.084,508.403,
191,628.501,590.251,778.82,197.346,323.177,
192,489.903,412.027,619.145,268.938,231.877,
193,1134.951,1009.05,1168.972,357.826,551.703,
194,990.49,881.468,988.274,252.369,417.705,
195,1112.83,989.138,1175.97,211.446,590.221,
196,2550.01,2136.763,2391.916,892.804,1314.818,
197,2164.045,2065.319,2238.456,933.843,1244.282,
198,1433.986,1425.406,1780.031,658.196,784.795,
199,1515.131,1316.308,1642.189,352.764,692.481,
200,887.384,748.42,912.135,288.909,449.569,
201,584.715,612.953,804.447,337.813,349.609,
202,876.044,753.882,906.091,481.521,458.494,
203,1110.964,946.146,1020.371,251.666,588.587,
204,1490.719,1269.292,1475.193,368.436,743.448,
205,1393.692,1198.008,1405.526,553.616,684.884,
206,1565.316,1314.219,1497.28,389.737,769.036,
207,915.296,876.164,1079.48,234.086,455.533,
208,772.538,670.158,860.191,205.946,370.855,
209,511.705,504.79,659.457,191.465,249.411,
210,360.803,365.046,420.221,94.22,181.798,
211,488.032,502.891,580.882,79.573,292.458,
212,420.426,365.005,432.602,108.356,226.883,
213,277.317,256.092,363.599,65.904,161.493,
214,200.072,229.059,345.181,76.768,96.306,
215,354.335,465.976,608.611,95.442,244.425,
216,444.203,518.842,717.278,168.029,276.404,
217,426.23,653.574,885.049,149.211,320.806,
218,576.005,682.519,938.59,241.297,238.106,
219,770.67,789.965,1060.621,398.654,358.527,
220,1032.976,953.696,1180.935,323.756,537.109,
221,791.395,707.433,938.424,164.172,373.856,
222,453.604,546.434,816.104,105.158,314.838,
223,517.564,484.293,646.419,198.813,237.141,
224,592.638,576.544,647.578,157.037,332.345,
225,450.847,457.656,533.199,154.351,201.674,
226,173.859,157.609,251.18,67.694,86.46,
227,183.157,197.207,246.831,56.397,90.153,
228,149.511,117.665,157.473,51.9,91.555,
229,182.072,147.921,175.456,45.041,131.468,
230,203.81,184.201,253.888,77.031,100.908,
231,191.277,183.209,244.665,94.101,92.063,
232,120.938,108.564,186.189,28.135,50.257,
233,216.738,178.464,229.412,60.692,92.275,
234,420.608,371.326,453.514,213.742,201.31,
235,218.615,202.458,298.975,181.033,92.836,
236,430.905,366.577,452.175,166.979,205.174,
237,269.79,273.087,314.378,62.15,136.549,
238,155.615,139.234,213.009,42.456,65.508,
239,405.142,374.662,485.072,228.555,215.111,
240,203.028,189.874,232.752,131.943,101.617,
241,305.526,345.084,514.585,269.358,124.918,
242,573.263,584.117,711.842,322.011,241.753,
243,624.098,678.615,862.344,475.978,351.349,
244,2154.951,2102.712,2415.524,847.383,1329.685,
245,2789.928,2592.309,3029.828,912.17,1701.805,
246,2260.911,2112.722,2426.486,923.727,1376.872,
247,2818.431,2480.784,2740.95,829.544,1508.819,
248,2828.468,2482.152,2740.93,1164.607,1578.592,
249,2508.766,2290.013,2646.75,1375.311,1309.604,
250,2410.624,2167.04,2686.792,1062.047,1369.551,
251,2191.878,1960.308,2376.625,827.389,1156.876,
252,2612.371,2200.536,2363.626,540.661,1391.701,
253,2257.165,2119.844,2168.97,429.159,1398.985,
254,1286.041,1109.776,1408.032,308.336,651.775,
