# CAVAPA JYU. Greg Ruthenbeck. 20min @0.1Hz (10s intervals).
ID,Person1,Person2,Person3,Person4,Person5,Person6,Person7,
0,94.1,79.3,98.8,83.3,93.1,131.2,105.2,
1,91.6,85.1,99.0,83.5,89.3,127.5,108.5,
2,95.0,91.1,102.1,81.8,87.9,128.8,98.7,
3,91.1,98.6,113.2,82.2,97.5,131.5,101.2,
4,119.4,108.8,131.8,108.3,123.9,123.2,121.3,
5,119.2,109.6,134.9,112.2,128.7,121.6,144.7,
6,111.2,103.3,131.3,110.9,120.2,118.3,142.5,
7,107.3,99.5,127.7,106.8,112.3,119.2,135.2,
8,102.3,99.6,124.8,105.8,105.0,117.0,136.7,
9,127.2,106.8,135.6,117.4,128.0,125.1,145.0,
10,122.0,115.1,136.3,123.5,132.9,121.7,150.7,
11,117.3,111.8,129.7,116.5,118.0,119.9,146.5,
12,108.6,105.1,118.7,109.3,113.0,123.4,141.0,
13,104.8,95.1,111.8,103.1,104.7,120.4,133.6,
14,99.0,88.3,107.5,97.7,93.8,112.1,123.8,
15,95.4,75.2,102.7,86.6,88.8,122.3,120.8,
16,95.4,70.8,111.7,78.5,87.1,130.2,117.1,
17,92.7,67.5,108.5,79.8,81.9,127.3,113.9,
18,94.1,65.2,107.8,77.0,85.2,124.9,109.0,
19,95.0,68.9,102.4,78.5,89.0,126.0,101.1,
20,99.8,72.3,103.2,93.9,85.0,126.0,103.5,
21,102.2,67.7,96.9,85.9,86.1,130.1,107.1,
22,97.9,74.8,99.5,79.4,88.7,112.8,109.7,
23,100.0,68.7,101.5,79.2,86.4,199.1,114.5,
24,99.6,75.5,101.5,84.9,89.0,192.9,109.1,
25,97.7,81.6,110.0,83.7,100.5,131.9,111.5,
26,97.6,75.0,113.9,86.8,101.7,137.8,110.1,
27,97.3,72.5,115.7,93.1,118.7,123.9,107.1,
28,98.0,73.8,118.6,94.4,117.9,117.5,105.5,
29,97.0,77.5,118.0,95.2,114.9,144.2,106.4,
30,96.0,78.2,117.6,101.6,117.8,150.0,101.8,
31,99.1,76.1,111.9,91.1,105.7,136.0,106.6,
32,101.5,73.1,107.1,89.4,109.5,128.9,110.9,
33,95.8,74.2,105.9,113.7,94.0,167.0,106.3,
34,99.8,72.7,98.2,129.0,85.1,140.2,107.6,
35,101.8,70.9,100.1,136.0,89.9,122.6,103.6,
36,100.1,75.7,115.7,110.0,109.8,116.3,111.2,
37,100.3,84.7,121.1,108.8,115.2,125.0,106.8,
38,104.6,80.3,116.6,114.6,120.1,133.7,116.8,
39,104.4,82.3,110.6,113.4,111.0,128.5,130.2,
40,103.6,91.0,107.0,118.0,117.5,112.3,123.4,
41,102.8,91.0,112.7,118.1,111.7,112.8,124.2,
42,98.0,90.6,111.3,121.5,97.5,134.3,119.9,
43,99.9,73.3,101.8,117.2,93.6,162.2,111.9,
44,98.8,72.0,102.4,113.1,96.5,120.6,119.8,
45,100.0,81.2,112.9,114.2,120.3,123.8,135.4,
46,118.8,103.4,135.8,120.3,133.8,134.4,146.3,
47,128.1,109.6,142.1,114.8,138.5,137.8,154.0,
48,122.7,109.7,138.0,115.0,136.9,140.4,159.3,
49,123.4,112.9,146.2,132.1,140.0,150.3,162.8,
