# CAVAPA JYU. Greg Ruthenbeck. 20min @0.1Hz (10s intervals).
ID,Cav,Acc,HR,HR*,Obs1,Obs2,
0,358.652,0.7,97.85714285714286,97.78571428571429,19,11.0,
1,1087.64,0.765,97.78571428571429,97.91428571428573,19,10.0,
2,100.122,1.125,97.91428571428573,102.18571428571428,18,9.5,
3,6713.675,13.58,102.18571428571428,119.52857142857144,36,24.0,
4,4099.99,25.38,119.52857142857144,124.41428571428573,36,22.5,
5,1325.699,2.585,124.41428571428573,119.67142857142858,21,12.5,
6,348.176,3.115,119.67142857142858,115.42857142857143,19,17.0,
7,3580.188,2.05,115.42857142857143,113.02857142857144,16,13.5,
8,6603.354,8.115,113.02857142857144,126.44285714285715,32,23.5,
9,1400.21,33.46,126.44285714285715,128.8857142857143,32,25.0,
10,394.101,2.605,128.8857142857143,122.8142857142857,16,14.0,
11,435.654,1.795,122.8142857142857,117.01428571428572,16,12.0,
12,474.085,1.52,117.01428571428572,110.5,16,12.0,
13,335.126,1.24,110.5,103.17142857142856,16,10.0,
14,254.384,0.97,103.17142857142856,98.82857142857142,16,10.0,
15,616.897,2.045,98.82857142857142,98.6857142857143,17,11.5,
16,627.48,1.395,98.6857142857143,95.94285714285714,17,11.0,
17,422.441,2.54,95.94285714285714,94.74285714285715,17,15.0,
18,1439.354,2.665,94.74285714285715,94.41428571428571,17,13.5,
19,1316.308,2.14,94.41428571428571,97.67142857142858,17,13.5,
20,504.79,1.85,97.67142857142858,96.57142857142858,17,14.0,
21,789.965,1.185,96.57142857142858,94.6857142857143,16,11.5,
22,147.921,1.2000000000000002,94.6857142857143,107.05714285714285,16,10.5,
23,374.662,0.89,107.05714285714285,107.5,16,9.5,
24,2290.013,2.315,107.5,102.41428571428571,17,14.5,
25,972.184,2.295,102.41428571428571,103.27142857142857,17,15.0,
26,2005.884,4.095000000000001,103.27142857142857,104.04285714285716,16,16.5,
27,1960.312,4.3950000000000005,104.04285714285716,103.67142857142856,16,17.0,
28,1673.98,5.92,103.67142857142856,107.6,18,17.5,
29,2167.283,3.42,107.6,109.0,17,15.5,
30,1165.226,3.1100000000000003,109.0,103.7857142857143,16,16.0,
31,2110.121,3.16,103.7857142857143,102.91428571428571,17,14.5,
32,1912.571,4.244999999999999,102.91428571428571,108.1285714285714,17,15.5,
33,2678.071,4.49,108.1285714285714,104.65714285714286,18,15.5,
34,1618.894,3.2800000000000002,104.65714285714286,103.55714285714285,18,15.0,
35,4466.583,5.835,103.55714285714285,105.54285714285716,23,20.5,
36,2865.646,12.335,105.54285714285716,108.84285714285714,23,21.0,
37,5889.636,11.925,108.84285714285714,112.38571428571429,26,23.5,
38,4173.398,15.815,112.38571428571429,111.48571428571427,27,26.0,
39,2452.293,3.59,111.48571428571427,110.39999999999999,16,16.0,
40,1211.824,2.45,110.39999999999999,110.47142857142858,18,14.0,
41,1211.557,2.58,110.47142857142858,110.44285714285715,16,14.5,
42,1113.712,1.9649999999999999,110.44285714285715,108.55714285714285,16,12.5,
43,1319.885,1.7349999999999999,108.55714285714285,103.31428571428572,16,14.5,
44,4916.37,6.36,103.31428571428572,112.54285714285713,21,22.0,
45,8513.428,20.305,112.54285714285713,127.54285714285713,32,27.0,
46,5683.298,27.174999999999997,127.54285714285713,132.1285714285714,32,29.0,
47,3944.405,17.805,132.1285714285714,131.71428571428572,29,24.5,
48,6835.79,21.5,131.71428571428572,138.24285714285716,30,26.5,
49,6661.896,22.39,138.24285714285716,142.65714285714287,31,28.0,
50,7615.665,24.08,142.65714285714287,138.24285714285713,32,27.0,
51,5356.255,11.74,138.24285714285713,135.65714285714284,25,24.0,
