# CAVAPA JYU. Greg Ruthenbeck. 40min @0.1Hz (10s intervals).
ID,Obs1,Obs2,Cav,
0,6,0.24,194.736,
1,7,0.147,28.112,
2,4,0.102,7.528,
3,4,0.102,6.94,
4,4,0.102,2.024,
5,5,0.192,9.428,
6,10,0.339,136.992,
7,10,0.336,145.844,
8,10,0.432,174.436,
9,13,0.384,147.144,
10,12,0.387,229.788,
11,13,0.432,137.004,
12,18,0.528,216.96,
13,18,0.483,214.136,
14,25,0.726,333.884,
15,20,0.582,123.812,
16,14,0.534,33.152,
17,16,0.534,47.196,
18,25,0.726,148.46,
19,26,0.678,181.444,
20,28,0.771,119.248,
21,22,0.585,75.052,
22,26,0.867,112.524,
23,19,0.774,120.62,
24,21,0.729,86.684,
25,27,0.873,291.188,
26,28,0.825,324.616,
27,40,1.26,475.368,
28,33,1.263,214.944,
29,30,1.131,86.892,
30,31,1.176,80.308,
31,27,1.086,29.748,
32,28,0.951,24.252,
33,29,0.861,25.852,
34,25,0.849,28.616,
35,22,0.702,99.336,
36,22,0.795,70.188,
37,22,0.603,14.696,
38,20,0.6,98.748,
39,20,0.6,143.264,
40,20,0.741,220.208,
41,16,0.549,37.252,
42,16,0.504,7.68,
43,16,0.552,42.144,
44,18,0.504,18.276,
45,21,0.687,54.608,
46,24,0.768,302.6,
47,24,0.51,529.284,
48,16,0.576,256.8,
49,14,0.528,333.652,
50,9,0.384,16.888,
51,7,0.198,3.944,
52,9,0.288,15.128,
53,4,0.336,32.084,
54,8,0.288,159.132,
55,10,0.288,121.796,
56,10,0.432,146.32,
57,9,0.288,65.352,
58,11,0.336,140.208,
59,3,0.096,30.268,
60,7,0.24,46.576,
61,7,0.192,58.932,
62,9,0.243,122.404,
63,9,0.288,175.676,
64,10,0.336,113.96,
65,11,0.291,66.768,
66,8,0.336,29.344,
67,11,0.288,58.772,
68,8,0.288,93.864,
69,7,0.243,56.728,
70,9,0.288,94.552,
71,10,0.336,204.352,
72,10,0.339,121.972,
73,11,0.387,187.708,
74,22,0.624,188.708,
75,23,0.672,312.74,
76,15,0.528,118.788,
77,17,0.48,198.148,
78,14,0.48,111.028,
79,14,0.48,62.164,
80,17,0.48,190.064,
81,17,0.528,110.428,
82,16,0.48,52.552,
83,15,0.48,53.224,
84,15,0.483,116.36,
85,16,0.531,125.892,
86,14,0.438,96.996,
87,15,0.48,84.44,
88,16,0.438,59.628,
89,15,0.438,92.116,
90,13,0.438,147.764,
91,12,0.39,34.204,
92,13,0.438,51.36,
93,12,0.393,76.36,
94,15,0.438,67.388,
95,14,0.438,50.7,
96,18,0.435,85.04,
97,20,0.534,76.708,
98,17,0.633,73.164,
99,22,0.633,233.14,
100,22,0.633,293.872,
101,21,0.723,167.448,
102,14,0.483,144.74,
103,15,0.435,102.496,
104,12,0.345,94.004,
105,13,0.393,128.308,
106,12,0.441,185.38,
107,13,0.486,90.464,
108,8,0.249,134.208,
109,12,0.441,115.516,
110,15,0.489,151.944,
111,17,0.489,159.796,
112,18,0.486,42.572,
113,19,0.486,73.532,
114,17,0.486,47.36,
115,17,0.534,62.804,
116,16,0.486,126.096,
117,19,0.486,80.672,
118,18,0.486,123.72,
119,16,0.486,92.292,
120,7,0.249,22.94,
121,11,0.39,85.796,
122,12,0.39,125.752,
123,8,0.342,40.14,
124,12,0.438,73.632,
125,12,0.342,64.548,
126,13,0.39,90.12,
127,8,0.255,9.376,
128,11,0.393,104.264,
129,7,0.249,54.208,
130,3,0.153,2.448,
131,3,0.153,5.788,
132,3,0.153,2.052,
133,3,0.153,0.576,
134,3,0.153,1.176,
135,3,0.153,0.092,
136,3,0.153,0.608,
137,3,0.153,0.652,
138,3,0.153,0.324,
139,3,0.153,2.456,
140,9,0.345,98.924,
141,9,0.345,49.664,
142,11,0.393,152.376,
143,10,0.393,120.564,
144,7,0.297,39.828,
145,8,0.297,79.08,
146,11,0.387,56.188,
147,13,0.432,141.884,
148,13,0.432,191.744,
149,12,0.384,298.88,
150,9,0.288,49.192,
151,0,0.0,1.024,
152,0,0.0,1.096,
153,0,0.0,2.824,
154,0,0.0,2.036,
155,0,0.0,3.308,
156,0,0.0,3.144,
157,0,0.0,1.288,
158,0,0.0,1.144,
159,0,0.0,2.552,
160,0,0.0,1.84,
161,0,0.0,0.0,
162,0,0.0,1.284,
163,0,0.0,2.848,
164,0,0.0,0.072,
165,0,0.0,3.0,
166,0,0.0,0.848,
167,0,0.0,0.42,
168,0,0.0,0.412,
169,0,0.0,2.076,
170,0,0.0,3.2,
171,0,0.0,0.504,
172,0,0.0,7.068,
173,0,0.0,5.784,
174,0,0.0,0.612,
175,0,0.0,0.492,
176,0,0.0,2.804,
177,0,0.0,2.976,
178,0,0.0,0.492,
179,0,0.0,1.476,
180,0,0.0,0.236,
181,0,0.0,0.048,
182,0,0.0,0.332,
183,0,0.0,4.912,
184,0,0.0,0.876,
185,0,0.0,1.332,
186,0,0.0,0.008,
187,0,0.0,0.024,
188,0,0.0,0.0,
189,0,0.0,0.052,
190,6,0.384,49.028,
191,12,0.384,256.984,
192,12,0.384,160.624,
193,14,0.483,138.456,
194,11,0.39,125.396,
195,16,0.486,55.784,
196,22,0.678,273.76,
197,21,0.678,181.008,
198,19,0.591,93.328,
199,22,0.735,111.024,
200,24,0.735,93.98,
201,21,0.639,85.136,
202,15,0.588,43.544,
203,19,0.588,335.012,
204,19,0.636,171.432,
205,20,0.591,138.08,
206,14,0.447,90.636,
207,15,0.447,146.4,
208,19,0.63,102.0,
209,14,0.441,75.608,
210,12,0.447,14.264,
211,14,0.495,30.116,
212,14,0.441,28.372,
213,15,0.489,34.116,
214,11,0.351,14.004,
215,13,0.441,44.876,
216,13,0.396,36.036,
217,13,0.351,10.176,
218,15,0.492,28.552,
219,14,0.492,10.556,
220,13,0.399,20.432,
221,12,0.396,16.404,
222,13,0.444,22.612,
223,16,0.585,48.896,
224,13,0.441,29.444,
225,16,0.492,14.872,
226,14,0.396,19.6,
227,14,0.489,5.996,
228,13,0.492,28.136,
229,11,0.444,9.24,
230,11,0.351,19.092,
231,14,0.396,28.884,
232,12,0.441,31.784,
233,14,0.396,25.452,
234,14,0.399,92.708,
235,17,0.63,101.584,
236,20,0.675,240.852,
237,18,0.585,129.932,
238,19,0.537,108.0,
239,19,0.582,190.044,
240,28,0.963,367.956,
241,32,1.152,476.296,
242,22,0.96,435.348,
243,15,0.582,391.704,
244,15,0.48,164.62,
245,9,0.288,32.692,
246,6,0.288,87.812,
247,9,0.288,157.012,
248,13,0.432,333.792,
249,9,0.288,217.504,
250,6,0.288,43.076,
251,0,0.0,2.336,
252,0,0.0,2.652,
253,0,0.0,0.984,
